iso_code,year,country,hot_days,visits,demo,demo_total,country_total,ratio_type,dep_percent
AUT,1992,Austria,6.95,224,_T,7840709,7840709,DEPEND_RATIO_OLD,24.357
AUT,1993,Austria,2.23,97,_T,7905632,7905632,DEPEND_RATIO_OLD,24.343
AUT,1994,Austria,6.64,102,_T,7936118,7936118,DEPEND_RATIO_OLD,24.476
AUT,1995,Austria,2.41,243,_T,7948278,7948278,DEPEND_RATIO_OLD,24.679
AUT,1996,Austria,0.5,33718,_T,7959016,7959016,DEPEND_RATIO_OLD,24.864
AUT,1997,Austria,0.32,32473,_T,7968041,7968041,DEPEND_RATIO_OLD,25.013
AUT,1998,Austria,4.12,33113,_T,7976789,7976789,DEPEND_RATIO_OLD,25.117
AUT,1999,Austria,1.17,36094,_T,7992323,7992323,DEPEND_RATIO_OLD,25.133
AUT,2000,Austria,4.58,33508,_T,8011566,8011566,DEPEND_RATIO_OLD,25.093
AUT,2001,Austria,3.15,35615,_T,8042293,8042293,DEPEND_RATIO_OLD,25.059
AUT,2002,Austria,3.29,31077,_T,8080292,8080292,DEPEND_RATIO_OLD,24.935
AUT,2003,Austria,11.08,29545,_T,8114402,8114402,DEPEND_RATIO_OLD,24.83
AUT,2004,Austria,1.37,32520,_T,8166432,8166432,DEPEND_RATIO_OLD,25.281
AUT,2005,Austria,2.51,37388,_T,8222090,8222090,DEPEND_RATIO_OLD,26.263
AUT,2006,Austria,4.67,34912,_T,8265675,8265675,DEPEND_RATIO_OLD,27.053
AUT,2007,Austria,5.44,32820,_T,8293654,8293654,DEPEND_RATIO_OLD,27.719
AUT,2008,Austria,2.01,33494,_T,8319388,8319388,DEPEND_RATIO_OLD,28.084
AUT,2009,Austria,2.11,35136,_T,8338752,8338752,DEPEND_RATIO_OLD,28.537
AUT,2010,Austria,4.53,50870,_T,8357367,8357367,DEPEND_RATIO_OLD,28.75
AUT,2011,Austria,4.02,54409,_T,8384901,8384901,DEPEND_RATIO_OLD,28.578
AUT,2012,Austria,6.72,62192,_T,8420328,8420328,DEPEND_RATIO_OLD,29.054
AUT,2013,Austria,9.23,68350,_T,8472176,8472176,DEPEND_RATIO_OLD,29.427
AUT,2014,Austria,2.3,71594,_T,8538350,8538350,DEPEND_RATIO_OLD,29.77
AUT,2015,Austria,14.04,63718,_T,8618709,8618709,DEPEND_RATIO_OLD,29.891
AUT,2016,Austria,2.25,64222,_T,8737663,8737663,DEPEND_RATIO_OLD,29.904
AUT,2017,Austria,7.6,81661,_T,8790624,8790624,DEPEND_RATIO_OLD,30.074
AUT,2018,Austria,5.87,92550,_T,8833192,8833192,DEPEND_RATIO_OLD,30.377
AUT,2019,Austria,8.29,96698,_T,8872344,8872344,DEPEND_RATIO_OLD,30.721
AUT,2020,Austria,3.32,26312,_T,8912293,8912293,DEPEND_RATIO_OLD,31.151
AUT,2021,Austria,4.44,50144,_T,8945279,8945279,DEPEND_RATIO_OLD,31.575
AUT,2022,Austria,6.71,106575,_T,9058407,9058407,DEPEND_RATIO_OLD,31.914
AUT,2023,Austria,7.75,149403,_T,9125730,9125730,DEPEND_RATIO_OLD,32.357
AUT,2024,Austria,,172850,_T,9174908,9174908,DEPEND_RATIO_OLD,33.054
BEL,1992,Belgium,1.03,643,_T,10045165,10045165,DEPEND_RATIO_OLD,25.386
BEL,1993,Belgium,0.12,993,_T,10084479,10084479,DEPEND_RATIO_OLD,25.678
BEL,1994,Belgium,6.06,444,_T,10115601,10115601,DEPEND_RATIO_OLD,26.01
BEL,1995,Belgium,6.76,688,_T,10136814,10136814,DEPEND_RATIO_OLD,26.463
BEL,1996,Belgium,0.94,75007,_T,10156641,10156641,DEPEND_RATIO_OLD,26.953
BEL,1997,Belgium,1.68,66330,_T,10181246,10181246,DEPEND_RATIO_OLD,27.386
BEL,1998,Belgium,3.48,70620,_T,10203012,10203012,DEPEND_RATIO_OLD,27.732
BEL,1999,Belgium,0.45,69018,_T,10226419,10226419,DEPEND_RATIO_OLD,27.984
BEL,2000,Belgium,1.21,24480,_T,10251251,10251251,DEPEND_RATIO_OLD,28.177
BEL,2001,Belgium,3.72,69248,_T,10286571,10286571,DEPEND_RATIO_OLD,28.317
BEL,2002,Belgium,3.17,21549,_T,10332786,10332786,DEPEND_RATIO_OLD,28.433
BEL,2003,Belgium,9.58,70805,_T,10376131,10376131,DEPEND_RATIO_OLD,28.583
BEL,2004,Belgium,1.26,63818,_T,10421136,10421136,DEPEND_RATIO_OLD,28.775
BEL,2005,Belgium,4.78,62076,_T,10478620,10478620,DEPEND_RATIO_OLD,28.854
BEL,2006,Belgium,6.86,63127,_T,10547956,10547956,DEPEND_RATIO_OLD,28.707
BEL,2007,Belgium,0.41,62459,_T,10624835,10624835,DEPEND_RATIO_OLD,28.511
BEL,2008,Belgium,0.49,64109,_T,10709108,10709108,DEPEND_RATIO_OLD,28.466
BEL,2009,Belgium,2.07,72199,_T,10796498,10796498,DEPEND_RATIO_OLD,28.56
BEL,2010,Belgium,4.06,81476,_T,10895591,10895591,DEPEND_RATIO_OLD,28.651
BEL,2011,Belgium,1.82,99968,_T,10993609,10993609,DEPEND_RATIO_OLD,28.914
BEL,2012,Belgium,2.12,97894,_T,11067748,11067748,DEPEND_RATIO_OLD,29.367
BEL,2013,Belgium,4.21,104418,_T,11125033,11125033,DEPEND_RATIO_OLD,29.813
BEL,2014,Belgium,1.28,113570,_T,11179778,11179778,DEPEND_RATIO_OLD,30.299
BEL,2015,Belgium,5.93,122903,_T,11238474,11238474,DEPEND_RATIO_OLD,30.749
BEL,2016,Belgium,5.41,152109,_T,11295003,11295003,DEPEND_RATIO_OLD,31.163
BEL,2017,Belgium,4.04,162225,_T,11349081,11349081,DEPEND_RATIO_OLD,31.611
BEL,2018,Belgium,7.6,189438,_T,11403740,11403740,DEPEND_RATIO_OLD,32.072
BEL,2019,Belgium,8.51,202579,_T,11462023,11462023,DEPEND_RATIO_OLD,32.554
BEL,2020,Belgium,10.77,49206,_T,11506938,11506938,DEPEND_RATIO_OLD,32.976
BEL,2021,Belgium,0.58,114655,_T,11552615,11552615,DEPEND_RATIO_OLD,33.403
BEL,2022,Belgium,8.36,250544,_T,11640788,11640788,DEPEND_RATIO_OLD,33.854
BEL,2023,Belgium,2.86,283915,_T,11730606,11730606,DEPEND_RATIO_OLD,34.335
BEL,2024,Belgium,,264352,_T,11794601,11794601,DEPEND_RATIO_OLD,34.943
CAN,1992,Canada,0.7,0,_T,28371264,28371264,DEPEND_RATIO_OLD,19.046
CAN,1993,Canada,0.44,0,_T,28684764,28684764,DEPEND_RATIO_OLD,19.279
CAN,1994,Canada,1.06,0,_T,29000663,29000663,DEPEND_RATIO_OLD,19.461
CAN,1995,Canada,1.94,0,_T,29302311,29302311,DEPEND_RATIO_OLD,19.655
CAN,1996,Canada,1.28,13132,_T,29610218,29610218,DEPEND_RATIO_OLD,19.846
CAN,1997,Canada,1.05,14441,_T,29905948,29905948,DEPEND_RATIO_OLD,20.028
CAN,1998,Canada,1.89,14433,_T,30155173,30155173,DEPEND_RATIO_OLD,20.218
CAN,1999,Canada,0.98,19065,_T,30401286,30401286,DEPEND_RATIO_OLD,20.328
CAN,2000,Canada,0.69,29650,_T,30685730,30685730,DEPEND_RATIO_OLD,20.426
CAN,2001,Canada,2.04,35916,_T,31020855,31020855,DEPEND_RATIO_OLD,20.498
CAN,2002,Canada,2.19,36512,_T,31359199,31359199,DEPEND_RATIO_OLD,20.547
CAN,2003,Canada,2.35,33858,_T,31642461,31642461,DEPEND_RATIO_OLD,20.653
